92069,,13021,,8682,,14103,,3430,,3807,,4042,,3212,,1870,,1554,,836,,1388,,1564,,
92324,,14494,,11384,,15548,,5608,,6323,,4015,,3453,,1861,,2292,,634,,838,,854,,
94930,,2966,,2419,,1611,,891,,499,,500,,205,,510,,496,,215,,626,,1443,,
95470,,1672,,1527,,2015,,643,,650,,451,,350,,241,,344,,169,,212,,139,,
95365,,907,,1457,,1360,,670,,677,,467,,319,,74,,67,,31,,59,,0,,
94158,,2854,,866,,1244,,275,,192,,425,,295,,376,,294,,176,,638,,1049,,
96137,,723,,779,,1790,,290,,222,,311,,77,,88,,150,,87,,123,,154,,
95415,,389,,528,,414,,304,,165,,237,,99,,18,,57,,17,,14,,6,,
89439,,619,,302,,585,,51,,201,,77,,32,,156,,107,,56,,141,,100,,
93544,,221,,127,,476,,46,,81,,68,,20,,30,,9,,15,,38,,41,,
95636,,183,,55,,338,,27,,13,,11,,55,,16,,44,,0,,30,,42,,
95701,,225,,222,,221,,101,,71,,54,,55,,41,,67,,11,,31,,16,,
94937,,354,,369,,307,,180,,68,,150,,59,,62,,26,,28,,47,,103,,
95552,,92,,169,,243,,89,,23,,3,,65,,25,,46,,0,,10,,0,,
94567,,250,,181,,209,,119,,41,,25,,61,,68,,38,,11,,39,,29,,
92268,,184,,75,,254,,30,,0,,51,,49,,30,,29,,0,,26,,44,,
96121,,134,,27,,86,,35,,36,,0,,23,,29,,0,,22,,0,,16,,
95717,,39,,41,,99,,13,,24,,0,,14,,9,,12,,8,,0,,0,,
93033,,21856,,17603,,20256,,8362,,11541,,7753,,4603,,2840,,2052,,800,,1029,,479,,
93307,,17630,,14516,,23185,,7964,,8516,,6494,,3920,,1787,,1467,,598,,769,,631,,
92592,,21583,,13720,,18870,,5658,,4531,,3659,,3551,,3242,,4050,,1768,,4332,,4512,,
92805,,20679,,14289,,17508,,6869,,8227,,6782,,4015,,2898,,2801,,989,,1440,,947,,
92105,,19434,,10571,,20396,,5356,,8213,,5827,,4129,,2439,,1946,,753,,876,,466,,
90003,,15116,,10064,,20271,,5800,,8248,,5267,,2611,,1703,,876,,262,,311,,102,,
92021,,18156,,13788,,18858,,6488,,6471,,4871,,3990,,2905,,3045,,1052,,1769,,1353,,
90731,,17664,,13205,,16946,,6097,,5529,,4143,,3400,,2532,,3180,,1440,,2302,,2246,,
95020,,17446,,12217,,13314,,5863,,4597,,3745,,2549,,2286,,2743,,1186,,2634,,4060,,
93063,,18292,,12114,,13464,,4878,,3388,,3281,,2858,,2762,,3826,,1777,,3165,,4471,,
92563,,17342,,10220,,13419,,4510,,3491,,3912,,2974,,2512,,3612,,1271,,2947,,2333,,
94601,,11524,,12316,,14174,,6090,,5550,,3945,,2641,,1978,,1885,,515,,720,,516,,
92025,,12655,,9789,,14176,,4255,,4768,,4162,,2926,,1354,,1704,,633,,1261,,1381,,
90024,,10368,,20502,,17282,,14769,,2903,,1883,,1794,,1481,,1957,,364,,1695,,4024,,
94014,,16827,,10562,,11614,,4421,,3746,,4746,,3364,,3628,,2909,,1242,,1631,,1702,,
94577,,14951,,8759,,12414,,3268,,3184,,3165,,2810,,2535,,2873,,1524,,2362,,1989,,
94303,,13196,,9289,,12058,,4206,,3081,,2766,,2325,,1593,,1809,,787,,1337,,4581,,
90027,,16948,,11742,,12174,,4226,,4804,,3830,,3173,,2697,,3452,,1301,,2283,,2924,,
92688,,17067,,8333,,8009,,3227,,2485,,2070,,2658,,2156,,3098,,1486,,3362,,4858,,
92395,,9330,,5671,,15014,,2815,,3016,,2395,,2097,,1411,,1326,,317,,989,,635,,
92054,,13385,,9070,,10912,,3731,,4544,,4347,,2747,,1862,,1777,,995,,1396,,1056,,
95926,,9118,,12315,,10792,,7628,,3671,,2566,,1873,,1514,,1518,,518,,1002,,1143,,
93711,,12584,,8212,,10280,,3502,,2736,,2476,,2451,,1588,,2128,,1145,,1753,,3017,,
91311,,13689,,7587,,10748,,3631,,2509,,2519,,2418,,1863,,2692,,1115,,1834,,2695,,
93612,,8934,,7204,,10161,,3833,,3547,,2406,,1847,,1403,,1449,,483,,762,,408,,
93561,,7792,,6114,,14076,,2808,,2381,,1284,,1160,,1310,,1515,,827,,1180,,1441,,
91722,,11419,,6673,,9862,,3115,,2637,,2966,,2501,,1787,,2345,,786,,1342,,613,,
94952,,11417,,8393,,8023,,3646,,1992,,2432,,2155,,1809,,2185,,1097,,1938,,2556,,
